name;meaning
Appliances_1;утюг
Appliances_2;телевизор
Appliances_3;водонагреватель
Appliances_4;кондиционер
Appliances_5;посудомоечная машина
Appliances_6;фен
Appliances_7;микроволновка
Appliances_8;плита
Appliances_9;стиральная машина
Appliances_10;холодильник
Balcony_1;балкон
Balcony_2;лоджия
Furniture_1;хранение одежды
Furniture_2;кухня
Furniture_3;спальные места
Internet_tv_1;телевидение
Internet_tv_2;Wi-Fi
Bathroom_1;раздельный
Bathroom_2;совмещенный
Utilities_1;включена в плату
Room_type_1;изолированные
Room_type_2;смежные
Советский;district_1
Вахитовский;district_2
Приволжский;district_3
Ново-Савиновский;district_4
Московский;district_5
Кировский;district_6
Авиастроительный;district_7
микро М-14;district_8
РУВД Московского а;district_9
